"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R5,R6,R1";"R_0805_2012Metric";4;"10k";;;
2;"L1";"L_Taiyo-Yuden_NR-50xx";1;"4.7uH";;;
3;"C4";"C_0805_2012Metric";1;"1uF";;;
4;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX31855KASA";;;
5;"C12";"C_0805_2012Metric";1;"10nF";;;
6;"C3,C7,C1";"C_0805_2012Metric";3;"100nF";;;
7;"S1,S2";"SW_PTS526_SMG15_SMTR2_LFS";2;"PTS526_SMG15_SMTR2_LFS";;;
8;"C9,C11,C8";"C_0805_2012Metric";3;"22uF";;;
9;"J3,J1";"TE_284391-2";2;"284391-2";;;
10;"J2";"SAMESKY_UJ20-C-H-G-SMT-P16-TR";1;"UJ20-C-H-G-SMT-P16-TR";;;
11;"U3";"TSOT-23-6";1;"AP63205WU";;;
12;"D2,D1";"D_SOD-323";2;"D_Schottky";;;
13;"C2,C6,C10";"C_0805_2012Metric";3;"10uF";;;
14;"R3,R2";"R_0805_2012Metric";2;"5.1k";;;
15;"U4";"SOT-223-3_TabPin2";1;"AZ1117CH2-3.3";;;
16;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
